,Age,Diet,Died
457,0-34,Low,False
458,0-34,Low,False
459,0-34,Low,False
460,0-34,Low,False
461,0-34,Low,False
462,0-34,Low,False
463,0-34,Low,False
464,0-34,Low,False
465,0-34,Low,False
466,0-34,Low,False
467,0-34,Low,False
468,0-34,Low,False
469,0-34,Low,False
470,0-34,Low,False
471,0-34,Low,False
472,0-34,Low,False
473,0-34,Low,False
474,0-34,Low,False
475,0-34,Low,False
476,0-34,Low,False
477,0-34,Low,False
478,0-34,Low,False
479,0-34,Low,False
480,0-34,Low,False
481,0-34,Low,False
482,0-34,Low,False
483,0-34,Low,False
484,0-34,Low,False
485,0-34,Low,False
486,0-34,Low,False
487,0-34,Low,False
488,0-34,Low,False
489,0-34,Low,False
490,0-34,Low,False
491,0-34,Low,False
492,0-34,Low,False
493,0-34,Low,False
494,0-34,Low,False
495,0-34,Low,False
496,0-34,Low,False
497,0-34,Low,False
498,0-34,Low,False
499,0-34,Low,False
500,0-34,Low,False
501,0-34,Low,False
502,0-34,Low,False
503,0-34,Low,False
504,0-34,Low,False
505,0-34,Low,False
506,0-34,Low,False
507,0-34,Low,False
508,0-34,Low,False
509,0-34,Low,False
510,0-34,Low,False
511,0-34,Low,False
512,0-34,Low,False
513,0-34,Low,False
514,0-34,Low,False
515,0-34,Low,False
516,0-34,Low,False
517,0-34,Low,False
518,0-34,Low,False
519,0-34,Low,False
520,0-34,Low,False
521,0-34,Low,False
522,0-34,Low,False
523,0-34,Low,False
524,0-34,Low,False
525,0-34,Low,False
526,0-34,Low,False
527,0-34,Low,False
528,0-34,Low,False
529,0-34,Low,False
530,0-34,Low,False
531,0-34,Low,False
532,0-34,Low,False
533,0-34,Low,False
534,0-34,Low,False
535,0-34,Low,False
536,0-34,Low,False
537,0-34,Low,False
538,0-34,Low,False
539,0-34,Low,False
540,0-34,Low,False
541,0-34,Low,False
542,0-34,Low,False
543,0-34,Low,False
544,0-34,Low,False
545,0-34,Low,False
546,0-34,Low,False
547,0-34,Low,False
548,0-34,Low,False
549,0-34,Low,False
550,0-34,Low,False
551,0-34,Low,False
552,0-34,Low,False
553,0-34,Low,False
554,0-34,Low,False
555,0-34,Low,False
556,0-34,Low,False
557,0-34,Low,False
558,0-34,Low,False
559,0-34,Low,False
560,0-34,Low,False
561,0-34,Low,False
562,0-34,Low,False
563,0-34,Low,False
564,0-34,Low,False
565,0-34,Low,False
566,0-34,Low,False
567,0-34,Low,False
568,0-34,Low,False
569,0-34,Low,False
570,0-34,Low,False
571,0-34,Low,False
572,0-34,Low,False
573,0-34,Low,False
574,0-34,Low,False
575,0-34,Low,False
576,0-34,Low,False
577,0-34,Low,False
578,0-34,Low,False
579,0-34,Low,False
580,0-34,Low,False
581,0-34,Low,False
582,0-34,Low,False
583,0-34,Low,False
584,0-34,Low,False
585,0-34,Low,False
586,0-34,Low,False
587,0-34,Low,False
588,0-34,Low,False
589,0-34,Low,False
590,0-34,Low,False
591,0-34,Low,False
592,0-34,Low,False
593,0-34,Low,False
594,0-34,Low,False
595,0-34,Low,False
596,0-34,Low,False
597,0-34,Low,False
598,0-34,Low,False
599,0-34,Low,False
600,0-34,Low,False
601,0-34,Low,False
602,0-34,Low,False
603,0-34,Low,False
604,0-34,Low,False
605,0-34,Low,False
606,0-34,Low,False
607,0-34,Low,False
608,0-34,Low,False
609,0-34,Low,False
610,0-34,Low,False
611,0-34,Low,False
612,0-34,Low,False
613,0-34,Low,False
614,0-34,Low,False
615,0-34,Low,False
616,0-34,Low,False
617,0-34,Low,False
618,0-34,Low,False
619,0-34,Low,False
620,0-34,Low,False
621,0-34,Low,False
622,0-34,Low,False
623,0-34,Low,False
624,0-34,Low,False
625,0-34,Low,False
626,0-34,Low,False
627,0-34,Low,False
628,0-34,Low,False
629,0-34,Low,False
630,0-34,Low,False
631,0-34,Low,False
632,0-34,Low,False
633,0-34,Low,False
634,0-34,Low,False
635,0-34,Low,False
636,0-34,Low,False
637,0-34,Low,False
638,0-34,Low,False
639,0-34,Low,False
640,0-34,Low,False
641,0-34,Low,False
642,0-34,Low,False
643,0-34,Low,False
644,0-34,Low,False
645,0-34,Low,False
646,0-34,Low,False
647,0-34,Low,False
648,0-34,Low,False
649,0-34,Low,False
650,0-34,Low,False
651,0-34,Low,False
652,0-34,Low,False
653,0-34,Low,False
654,0-34,Low,False
655,0-34,Low,False
656,0-34,Low,False
657,0-34,Low,False
658,0-34,Low,False
659,0-34,Low,False
660,0-34,Low,False
661,0-34,Low,False
662,0-34,Low,False
663,0-34,Low,False
664,0-34,Low,False
665,0-34,Low,False
666,0-34,Low,False
667,0-34,Low,False
668,0-34,Low,False
669,0-34,Low,False
670,0-34,Low,False
671,0-34,Low,False
672,0-34,Low,False
673,0-34,Low,False
674,0-34,Low,False
675,0-34,Low,False
676,0-34,Low,False
677,0-34,Low,False
678,0-34,Low,False
679,0-34,Low,False
680,0-34,Low,False
681,0-34,Low,False
682,0-34,Low,False
683,0-34,Low,False
684,0-34,Low,False
685,0-34,Low,False
686,0-34,Low,False
687,0-34,Low,False
688,0-34,Low,False
689,0-34,Low,False
690,0-34,Low,False
691,0-34,Low,False
692,0-34,Low,False
693,0-34,Low,False
694,0-34,Low,False
695,0-34,Low,False
696,0-34,Low,False
697,0-34,Low,False
698,0-34,Low,False
699,0-34,Low,False
700,0-34,Low,False
701,0-34,Low,False
702,0-34,Low,False
703,0-34,Low,False
704,0-34,Low,False
705,0-34,Low,False
706,0-34,Low,False
707,0-34,Low,False
708,0-34,Low,False
709,0-34,Low,False
710,0-34,Low,False
711,0-34,Low,False
712,0-34,Low,False
713,0-34,Low,False
714,0-34,Low,False
715,0-34,Low,False
716,0-34,Low,False
717,0-34,Low,False
718,0-34,Low,False
719,0-34,Low,False
720,0-34,Low,False
721,0-34,Low,False
722,0-34,Low,False
723,0-34,Low,False
724,0-34,Low,False
725,0-34,Low,False
726,0-34,Low,False
727,0-34,Low,False
728,0-34,Low,False
729,0-34,Low,False
730,0-34,Low,False
731,0-34,Low,False
732,0-34,Low,False
733,0-34,Low,False
734,0-34,Low,False
735,0-34,Low,False
736,0-34,Low,False
737,0-34,Low,False
738,0-34,Low,False
739,0-34,Low,False
740,0-34,Low,False
741,0-34,Low,False
742,0-34,Low,False
743,0-34,Low,False
744,0-34,Low,False
745,0-34,Low,False
746,0-34,Low,False
747,0-34,Low,False
748,0-34,Low,False
749,0-34,Low,False
750,0-34,Low,False
751,0-34,Low,False
752,0-34,Low,False
753,0-34,Low,False
754,0-34,Low,False
755,0-34,Low,False
756,0-34,Low,False
757,0-34,Low,False
758,0-34,Low,False
759,0-34,Low,False
760,0-34,Low,False
761,0-34,Low,False
762,0-34,Low,False
763,0-34,Low,False
764,0-34,Low,False
765,0-34,Low,False
766,0-34,Low,False
767,0-34,Low,False
768,0-34,Low,False
769,0-34,Low,False
770,0-34,Low,False
771,0-34,Low,False
772,0-34,Low,False
773,0-34,Low,False
774,0-34,Low,False
775,0-34,Low,False
776,0-34,Low,False
777,0-34,Low,False
778,0-34,Low,False
779,0-34,Low,False
780,0-34,Low,False
781,0-34,Low,False
782,0-34,Low,False
783,0-34,Low,False
784,0-34,Low,False
785,0-34,Low,False
786,0-34,Low,False
787,0-34,Low,False
788,0-34,Low,False
789,0-34,Low,False
790,0-34,Low,False
791,0-34,Low,False
792,0-34,Low,False
793,0-34,Low,False
794,0-34,Low,False
795,0-34,Low,False
796,0-34,Low,False
797,0-34,Low,False
798,0-34,Low,False
799,0-34,Low,False
800,0-34,Low,False
801,0-34,Low,False
802,0-34,Low,False
803,0-34,Low,False
804,0-34,Low,False
805,0-34,Low,False
806,0-34,Low,False
807,0-34,Low,False
808,0-34,Low,False
809,0-34,Low,False
810,0-34,Low,False
811,0-34,Low,False
812,0-34,Low,False
813,0-34,Low,False
814,0-34,Low,False
815,0-34,Low,False
816,0-34,Low,False
817,0-34,Low,False
818,0-34,Low,False
819,0-34,Low,False
820,0-34,Low,False
821,0-34,Low,False
822,0-34,Low,False
823,0-34,Low,False
824,0-34,Low,False
825,0-34,Low,False
826,0-34,Low,False
827,0-34,Low,False
828,0-34,Low,False
829,0-34,Low,False
830,0-34,Low,False
831,0-34,Low,False
832,0-34,Low,False
833,0-34,Low,False
834,0-34,Low,False
835,0-34,Low,False
836,0-34,Low,False
837,0-34,Low,False
838,0-34,Low,False
839,0-34,Low,False
840,0-34,Low,False
841,0-34,Low,False
842,0-34,Low,False
843,0-34,Low,False
844,0-34,Low,False
845,0-34,Low,False
846,0-34,Low,False
847,0-34,Low,False
848,0-34,Low,False
849,0-34,Low,False
850,0-34,Low,False
851,0-34,Low,False
852,0-34,Low,False
853,0-34,Low,False
854,0-34,Low,False
855,0-34,Low,False
856,0-34,Low,False
857,0-34,Low,False
858,0-34,Low,False
859,0-34,Low,False
860,0-34,Low,False
861,0-34,Low,False
862,0-34,Low,False
863,0-34,Low,False
864,0-34,Low,False
865,0-34,Low,False
866,0-34,Low,False
867,0-34,Low,False
868,0-34,Low,False
869,0-34,Low,False
870,0-34,Low,False
871,0-34,Low,False
872,0-34,Low,False
873,0-34,Low,False
874,0-34,Low,False
875,0-34,Low,False
876,0-34,Low,False
877,0-34,Low,False
878,0-34,Low,False
879,0-34,Low,False
880,0-34,Low,False
881,0-34,Low,False
882,0-34,Low,False
883,0-34,Low,False
884,0-34,Low,False
885,0-34,Low,False
886,0-34,Low,False
887,0-34,Low,False
888,0-34,Low,False
889,0-34,Low,False
890,0-34,Low,False
891,0-34,Low,False
892,0-34,Low,False
893,0-34,Low,False
894,0-34,Low,False
895,0-34,Low,False
896,0-34,Low,False
897,0-34,Low,False
898,0-34,Low,False
899,0-34,Low,False
900,0-34,Low,False
901,0-34,Low,False
902,0-34,Low,False
903,0-34,Low,False
904,0-34,Low,False
905,0-34,Low,False
906,0-34,Low,False
907,0-34,Low,False
908,0-34,Low,False
909,0-34,Low,False
910,0-34,Low,False
911,0-34,Low,False
912,0-34,Low,False
913,0-34,Low,False
914,0-34,Low,False
915,0-34,Low,False
916,0-34,Low,False
917,0-34,Low,False
918,0-34,Low,False
919,0-34,Low,False
920,0-34,Low,False
921,0-34,Low,False
922,0-34,Low,False
923,0-34,Low,False
924,0-34,Low,False
925,0-34,Low,False
926,0-34,Low,False
927,0-34,Low,False
928,0-34,Low,False
929,0-34,Low,False
930,0-34,Low,False
931,0-34,Low,False
932,0-34,Low,False
933,0-34,Low,False
934,0-34,Low,False
935,0-34,Low,False
936,0-34,Low,False
937,0-34,Low,False
938,0-34,Low,False
939,0-34,Low,False
940,0-34,Low,False
941,0-34,Low,False
942,0-34,Low,False
943,0-34,Low,False
944,0-34,Low,False
945,0-34,Low,False
946,0-34,Low,False
947,0-34,Low,False
948,0-34,Low,False
949,0-34,Low,False
950,0-34,Low,False
951,0-34,Low,False
952,0-34,Low,False
953,0-34,Low,False
954,0-34,Low,False
955,0-34,Low,False
956,0-34,Low,False
957,0-34,Low,False
958,0-34,Low,False
959,0-34,Low,False
960,0-34,Low,False
961,0-34,Low,False
962,0-34,Low,False
963,0-34,Low,False
964,0-34,Low,False
965,0-34,Low,False
966,0-34,Low,False
967,0-34,Low,False
968,0-34,Low,False
969,0-34,Low,False
970,0-34,Low,False
971,0-34,Low,False
972,0-34,Low,False
973,0-34,Low,False
974,0-34,Low,False
975,0-34,Low,False
976,0-34,Low,False
977,0-34,Low,False
978,0-34,Low,False
979,0-34,Low,False
980,0-34,Low,False
981,0-34,Low,False
982,0-34,Low,False
983,0-34,Low,False
984,0-34,Low,False
985,0-34,Low,False
986,0-34,Low,False
987,0-34,Low,False
988,0-34,Low,False
989,0-34,Low,False
990,0-34,Low,False
991,0-34,Low,False
992,0-34,Low,False
993,0-34,Low,False
994,0-34,Low,False
995,0-34,Low,False
996,0-34,Low,False
997,0-34,Low,False
998,0-34,Low,False
999,0-34,Low,False
1000,0-34,Low,False
1001,0-34,Low,False
1002,0-34,Low,False
1003,0-34,Low,False
1004,0-34,Low,False
1005,0-34,Low,False
1006,0-34,Low,False
1007,0-34,Low,False
1008,0-34,Low,False
1009,0-34,Low,False
1010,0-34,Low,False
1011,0-34,Low,False
1012,0-34,Low,False
1013,0-34,Low,False
1014,0-34,Low,False
1015,0-34,Low,False
1016,0-34,Low,False
1017,0-34,Low,False
1018,0-34,Low,False
1019,0-34,Low,False
1020,0-34,Low,False
1021,0-34,Low,False
1022,0-34,Low,False
1023,0-34,Low,False
1024,0-34,Low,False
1025,0-34,Low,False
1026,0-34,Low,False
1027,0-34,Low,False
1028,0-34,Low,False
1029,0-34,Low,False
1030,0-34,Low,False
1031,0-34,Low,False
1032,0-34,Low,False
1033,0-34,Low,False
1034,0-34,Low,False
1035,0-34,Low,False
1036,0-34,Low,False
1037,0-34,Low,False
1038,0-34,Low,False
1039,0-34,Low,False
1040,0-34,Low,False
1041,0-34,Low,False
1042,0-34,Low,False
1043,0-34,Low,False
1044,0-34,Low,False
1045,0-34,Low,False
1046,0-34,Low,False
1047,0-34,Low,False
1048,0-34,Low,False
1049,0-34,Low,False
1050,0-34,Low,False
1051,0-34,Low,False
1052,0-34,Low,False
1053,0-34,Low,False
1054,0-34,Low,False
1055,0-34,Low,False
1056,0-34,Low,False
1057,0-34,Low,False
1058,0-34,Low,False
1059,0-34,Low,False
1060,0-34,Low,False
1061,0-34,Low,False
1062,0-34,Low,False
1063,0-34,Low,False
1064,0-34,Low,False
1065,0-34,Low,False
1066,0-34,Low,False
1067,0-34,Low,False
1068,0-34,Low,False
1069,0-34,Low,False
1070,0-34,Low,False
1071,0-34,Low,False
1072,0-34,Low,False
1073,0-34,Low,False
1074,0-34,Low,False
1075,0-34,Low,False
1076,0-34,Low,False
1077,0-34,Low,False
1078,0-34,Low,False
1079,0-34,Low,False
1080,0-34,Low,False
1081,0-34,Low,False
1082,0-34,Low,False
1083,0-34,Low,False
1084,0-34,Low,False
1085,0-34,Low,False
1086,0-34,Low,False
1087,0-34,Low,False
1088,0-34,Low,False
1089,0-34,Low,False
1090,0-34,Low,False
1091,0-34,Low,False
1092,0-34,Low,False
1093,0-34,Low,False
1094,0-34,Low,False
1095,0-34,Low,False
1096,0-34,Low,False
1097,0-34,Low,False
1098,0-34,Low,False
1099,0-34,Low,False
1100,0-34,Low,False
1101,0-34,Low,False
1102,0-34,Low,False
1103,0-34,Low,False
1104,0-34,Low,False
1105,0-34,Low,False
1106,0-34,Low,False
1107,0-34,Low,False
1108,0-34,Low,False
1109,0-34,Low,False
1110,0-34,Low,False
1111,0-34,Low,False
1112,0-34,Low,False
1113,0-34,Low,False
1114,0-34,Low,False
1115,0-34,Low,False
1116,0-34,Low,False
1117,0-34,Low,False
1118,0-34,Low,False
1119,0-34,Low,False
1120,0-34,Low,False
1121,0-34,Low,False
1122,0-34,Low,False
1123,0-34,Low,False
1124,0-34,Low,False
1125,0-34,Low,False
1126,0-34,Low,False
